*-------------------------------
    OthersFound $n sospira guardando $N.~
    VictFound   $n sospira guardandomi..~
EndMessages
End

#SOCIAL
Italian     spallucce ignoro ignorare infischio~
English     shrug~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Alzo le spalle..~
    OthersNoArg $n alza le spalle..~
    CharFound   Alzo le spalle in risposta a $N.~
    OthersFound $n alza le spalle in risposta a $N.~
    VictFound   $n alza le spalle in mia risposta $N.~
EndMessages
End

#SOCIAL
Italian     sputa sputo sputare~
English     spit~
Intention   INTENT_AGGRESSIVE
Expression  sputando ~
Smiles      :# :-#~
Messages
    CharNoArg   Chino sprezzantemente il capo e sputo in terra con rabbia.~
    OthersNoArg $n china il capo e sputa sprezzantemente in terra.~
    CharFound   Sputo sprezzantemente in terra vicino a $N.~
    OthersFound $n sputa sprezzantemente in terra vicino a $N.~
    VictFound   $n sputa sprezzantemente in terra vicino a me!~
    CharAuto    Con un moto di disprezzo sputo in terra.. E mi becco un piede!~
    OthersAuto  $n si sputa su un piede senza accorgersene!~
EndMessages
End

#SOCIAL
Italian     stanco stanchezza~
English     tired~
Intention   INTENT_NEUTRAL
Expression  stanco ~
Smiles      :v :-v~
Messages
    CharNoArg   Distendo stancamente le braccia mentre sbadiglio..~
    OthersNoArg $n distende le braccia sbadigliando stancamente..~
    CharFound   Distendo le braccia sbadigliando in faccia a $N.~
    OthersFound $n distende le braccia sbadigliando in faccia a $N.~
    VictFound   $n distende le braccia sbadigliando in faccia a me!~
EndMessages
End

#SOCIAL
Italian     stiracchia stiracchio allungo~
English     stretch~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Allungo gambe e braccia stiracchiandomi pigramente.. va meglio, car$x?~
    OthersNoArg $n allunga gambe e braccia stiracchiandosi pigramente..~
    CharFound   Mi stiracchio appoggiandomi a $N.~
    OthersFound $n si stiracchia appoggiandosi a $N.~
    VictFound   $n si stiracchia appoggiandosi a me!~
EndMessages
End

#SOCIAL
Italian     stordito sbalordito~
English     stunned~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Mi sento un po' stordit$x.~
    OthersNoArg $n sembra un po' stordit$x..~
    CharFound   Sono letteralmente stordit$x dalle parole di $N.~
    OthersFound $n sembra letteralmente stordit$x dalle parole di $N.~
    VictFound   $n sembra letteralmente stordit$x dalle mie parole.~
EndMessages
End

#SOCIAL
Italian     stringi stringo stringere~
English     sweep~
Intention   INTENT_FRIENDLY
Messages
    CharNoArg   Chi potrei stringere?~
    OthersNoArg $n cammina a braccia aperte in cerca di qualcuno da stringere.~
    CharFound   Stringo $N  al petto con ogni forza.~
    OthersFound $n stringe $N a sé.~
    VictFound   $n mi stringe al petto con ogni forza.~
    CharAuto    Mi abbraccio forte forte forte.. Che bello che sono nat$x.~
    OthersAuto  $ si abbraccia forte dondolandosi anche un po'.~
EndMessages
End

#SOCIAL
Italian     strofina strofino strofinare nocche scalpo~
English     rub~
Intention   INTENT_AGGRESSIVE
Messages
    CharNoArg   A chi potrei 'fare lo scalpo'?~
    OthersNoArg $n osserva con fare poco rassicurante le teste dei presenti..~
    CharFound   Strofino con forza le nocche sulla testa di $N! AHI!~
    OthersFound $n strofina con forza le nocche sulla testa di $N! AHI!~
    VictFound   $n strofina con forza le nocche sulla mia testa! ARGH!~
    CharAuto    Strofino con forza le nocche sulla mia testa..è piacevole?~
    OthersAuto  $n strofina con forza le nocche sulla sua testa.. è piacevole?~
EndMessages
End

#SOCIAL
Italian     strozza strozzo strozzare~
English     throttle~
Intention   INTENT_AGGRESSIVE
Messages
    CharNoArg   Umh.. chi posso strozzare?~
    OthersNoArg $n s'aggira con sguardo poco rassicurante..~
    CharFound   Strozzo $N finché non diventa blu in volto!~
    OthersFound $n strozza $N finché non diventa blu in volto!~
    VictFound   $n mi strozza finché non mi manca il respiro! Aiut..!~
    CharAuto    Mi.. strozzo con le mie stesse mani.. Ottimo direi!~
    OthersAuto  $n cerca di strozzarsi con le sue stesse mani.~
EndMessages
End

#SOCIAL
Italian     svieni svengo svenire~
English     swoon~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Svengo.. ahi, il pavimento è duro..~
    OthersNoArg $n sviene improvvisamente..~
    CharFound   Svengo improvvisamente guardando $N!~
    OthersFound $n sviene improvvisamente guardando $N.~
    VictFound   $n sviene improvvisamente.. tra le mie braccia..~
EndMessages
End


*-------------------------------
* SOCIALI LETTERA  'T'

#SOCIAL
Italian     taptap impaziente impazienza~
English     taptap~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Incrocio le braccia tamburellando impaziente.~
    OthersNoArg $n incrocia le braccia e tamburella impaziente.~
    CharFound   Incrocio le braccia e tamburello impaziente guardando $N.. allora?~
    OthersFound $n incrocia le braccia e tamburella impaziente guardando $N.. allora?~
    VictFound   $n incrocia le braccia  e tamburella impaziente guardandomi.. allora?~
EndMessages
End

#SOCIAL
Italian     tartaruga~
English     turtle~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Rannicchio la testa schiacciando il collo nelle spalle.~
    OthersNoArg $n rannicchia la testa schiacciando il collo nelle spalle.~
    CharFound   Rannicchio la testa schiacciando il collo nelle spalle guardando di sottecchi $N.~
    OthersFound $n rannicchia la testa schiacciando il collo nelle spalle guardando di sottecchi $N.~
    VictFound   $n rannicchia la testa schiacciando il collo nelle spalle guardandomi di sottecchi.~
EndMessages
End

#SOCIAL
Italian     tempie massaggio~
English     temple~
Intention   INTENT_FRIENDLY
Messages
    CharNoArg   Mi massaggio le tempie.. ahh.. meglio ora..~
    OthersNoArg $n si massaggia lentamente le tempie.~
    CharFound   Massaggio lentamente le tempie a $N.. devo farmi perdonare qualcosa eh?~
    OthersFound $n massaggia lentamente le tempie a $N.. ne vorresti anche tu?~
    VictFound   $n mi massaggia lentamente le tempie.. mmm.. che sollievo..~
EndMessages
End

#SOCIAL
Italian     testa no negare nego~
English     shake~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Scuoto la testa.~
    OthersNoArg $n scuote la testa.~
    CharFound   Scuoto la testa verso $N.~
    OthersFound $n scuote la testa in direzione di $N.~
    VictFound   $n scuote la testa verso di me.~
EndMessages
End

#SOCIAL
Italian     blblbl linguaccia versaccio~
English     blblbl~
Intention   INTENT_AGGRESSIVE
Messages
    CharNoArg   Dispettosamente faccio una linguaccia.~
    OthersNoArg $n fa una linguaccia.~
    CharFound   Faccio una linguaccia a $N.~
    OthersFound $n fa una linguaccia a $N.~
    VictFound   $n mi fa una linguaccia!~
EndMessages
End

#SOCIAL
Italian     torvo cupo~
English     grim~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Mi guardo attorno in maniera torva.~
    OthersNoArg $n si guarda attorno in maniera torva..~
    CharFound   Guardi $N torv$x in volto.~
    OthersFound $n guarda $N torv$x in volto.~
    VictFound   $n mi guarda, torv$x in volto.~
EndMessages
End

#SOCIAL
Italian     tossicchia tossicchio tossicchiare~
English     sneeze~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Tossicchio discretamente.~
    OthersNoArg $n tossicchia discretamente.~
    CharFound   Tossicchio discretamente guardando sottecchi $N.~
    OthersFound $n tossicchia discretamente guardando $N.~
    VictFound   $n tossicchia discretamente guardandomi sottecchi.~
EndMessages
End

#SOCIAL
Italian     trema tremo tremare~
English     shiver~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Tremo come una foglia.~
    OthersNoArg $n trema come una foglia.~
    CharFound   Tremo come una foglia.~
    OthersFound $n trema come una foglia.~
    VictFound   $n trema come una foglia.~
    CharAuto    Mi guardo e tremo come una foglia.~
    OthersAuto  $n si guarda e trema, si fa paura!!~
EndMessages
End

#SOCIAL
Italian     triste tetro malinconia malinconico~
English     dreary~
Intention   INTENT_NEUTRAL
Expression  tristemente ~
Smiles      :( :-(~
Messages
    CharNoArg   Socchiudo gli occhi malcelando la mia tristezza con un lieve sospiro.~
    OthersNoArg $n china mestamente il capo con un lievissimo sospiro.~
    CharFound   Guardo $N con occhi tristi.~
    OthersFound $n guarda $N con la tristezza in volto.~
    VictFound   $n mi guarda sospirando con tristezza.~
EndMessages
End

#SOCIAL
Italian     tronfio pavone pavoneggiarsi~
English     strut~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Tiro in fuori il petto ed avanzo tronfiamente!~
    OthersNoArg $n tira in fuori il petto ed avanza tronfiamente!.~
    CharFound   Tiro in fuori il petto ed avanzi tronfiamente verso $N!~
    OthersFound $n tira in fuori il petto ed avanza tronfiamente verso $N!.~
    VictFound   $n tira in fuori il petto ed avanza tronfiamente verso di me!~
EndMessages
End

#SOCIAL
Italian     tsk supponente tze~
English     tsk~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Faccio una faccia supponente dicendo a denti stretti: Tsk tsk tsk..~
    OthersNoArg $n fa una faccia supponente dicendo a denti stretti: Tsk tsk tsk.~
    CharFound   Guardo $N supponente dicendo: Tsk tsk tsk..~
    OthersFound $n guarda  $N con aria supponente dicendo: Tsk tsk tsk..~
    VictFound   $n mi guarda supponente dicendo: Tsk tsk tsk..~
EndMessages
End


*-------------------------------
* SOCIALI LETTERA  'U'

#SOCIAL
Italian     ufff sbuffare noia annoiato~
English     growl~
Intention   INTENT_NEUTRAL
Expression  sbuffando ~
Smiles      := :-=~
Messages
    CharNoArg   Sbuffo.. che noia!~
    OthersNoArg $n sbuffa brontolando..~
    CharFound   Sbuffo verso $N.~
    OthersFound $n sbuffa verso $N.~
    VictFound   $n sbuffa verso di me.~
EndMessages
End

#SOCIAL
Italian     ugh deglutire inghiottire~
English     ugh~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Deglutisco socchiudendo gli occhi.. esclamando: Ugh!"~
    OthersNoArg $n deglutisce socchiudendo gli occhi.. esclamando: Ugh!"~
    CharFound   Deglutisco lievemente sorpres$x verso $N.~
    OthersFound $n deglutisce lievemente sorpres$x verso $N.~
    VictFound   $n deglutisce lievemente sorpres$x verso di me.~
EndMessages
End

#SOCIAL
Italian     umilio umiliare~
English     abase~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Mi umilio strisciando per terra!~
    OthersNoArg $n si umilia strisciando per terra!~
    CharFound   Mi umilo strisciando ai piedi di $N!~
    OthersFound $n si umilia strisciando ai piedi di $N.~
    VictFound   $n si umilia strisciando ai miei piedi.~
EndMessages
End

#SOCIAL
Italian     unghie mangiucchiare~
English     nail~
Intention   INTENT_NEUTRAL
Messages
    CharNoArg   Comincio a mangiarmi nervosamente le unghie.~
    OthersNoArg $n comincia a mangiarsi nervosamente le unghie.~
    CharFound   Mi mangio nervosamente le unghie fissando $N.~
    OthersFound $n si mangia nervosamente le unghie fissando $N.~
    VictFound   $n si mangia nervosamente le unghie fissandomi.~
EndMessages
End


*-------------------------------
* SOCIALI LETTERA  'Y'

#SOCIAL
Italian     yawn sbadiglio sbadigliare~
English     yawn~
Intention   INTENT_NEUTRAL
Expression  sbadigliando ~
Smiles      :V :-V :v :-v~
Messages
    CharNoArg   Apro lentamente la bocca in un lungo sbadiglio annoiato..~
    OthersNoArg $n sbadiglia lentamente mostrando la sua noia..~
    CharFound   Sbadiglio lentamente verso $N.~
    OthersFound $n sbadiglia lentamente verso $N.~
    VictFound   $n sbadiglia lentamente verso di me..~
EndMessages
End


#END
